Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  21:00:00,2.350201505,0.046037574,0,0,0,0,0,0,0.680252812,0.146544516,0.275874928,0.668380946,0.562504303
 01/05  22:00:00,2.118941956,0.096637382,0,0.051674615,0,0.001321042,0.001321042,0.001321042,0.5711557,0.123042104,0.258342283,0.652776722,0.495660105
 01/05  23:00:00,1.71334,0.622099719,0,0.583190206,0,0.015031328,0.015031328,0.015031328,0.429971094,0.092627195,0.205880856,0.564894597,0.38829093
 01/05  24:00:00,1.304716029,1.208765642,0,1.174954,0,0.03033535,0.03033535,0.03033535,0.295204003,0.063594789,0.135920782,0.490882893,0.272134212
 01/06  01:00:00,0.89139844,1.817166447,0,1.789199069,0,0.046057089,0.046057089,0.046057089,0.154019476,0.033179897,0.086369242,0.406034923,0.149093813
 01/06  02:00:00,0.719416165,2.147161961,0,2.121411373,0,0.054530795,0.054530795,0.054530795,0.089844728,0.019354937,0.072238755,0.37385121,0.092951739
 01/06  03:00:00,0.665609481,2.53508537,0,2.509633339,0,0.064069926,0.064069926,0.064069926,0.064174796,0.013824955,0.059715255,0.369516703,0.077663844
 01/06  04:00:00,0.661140618,2.676407801,0,2.65131404,0,0.06750604,0.06750604,0.06750604,0.064174796,0.013824955,0.052611026,0.364315295,0.082064506
 01/06  05:00:00,0.704669607,2.755679167,0,2.731533325,0,0.069452907,0.069452907,0.069452907,0.064174796,0.013824955,0.063151709,0.350553236,0.126868004
 01/06  06:00:00,0.956150994,2.83045643,0,2.803511612,0,0.071296251,0.071296251,0.071296251,0.064174796,0.013824955,0.075981488,0.391189237,0.323040266
 01/06  07:00:00,1.534664307,2.689796039,0,2.658663951,0,0.067628647,0.067628647,0.067628647,0.147602041,0.031797395,0.129758031,0.451980695,0.689253498
 01/06  08:00:00,1.950297917,2.958429804,0,2.925349628,0,0.07427142,0.07427142,0.07427142,0.301621517,0.064977292,0.207405929,0.480263352,0.790114408
 01/06  09:00:00,1.873746854,2.687186227,0,2.659218849,0,0.06771808,0.06771808,0.06771808,0.288786568,0.062212303,0.268690649,0.406034923,0.763660331
 01/06  10:00:00,1.623994421,2.750888058,0,2.727085557,0,0.069263157,0.069263157,0.069263157,0.147602041,0.031797395,0.330033496,0.345568553,0.68308578
 01/06  11:00:00,1.530143288,3.121161086,0,3.09679879,0,0.079046229,0.079046229,0.079046229,0.121932142,0.026267417,0.34487662,0.353695754,0.587681127
 01/06  12:00:00,1.442061762,2.374568741,0,2.350198982,0,0.059831927,0.059831927,0.059831927,0.121932142,0.026267417,0.361119726,0.353804116,0.502462434
 01/06  13:00:00,1.35427654,2.125977359,0,2.102018115,0,0.053747016,0.053747016,0.053747016,0.121932142,0.026267417,0.351845974,0.347844169,0.435995821
 01/06  14:00:00,1.292348799,2.103057258,0,2.078269518,0,0.053236074,0.053236074,0.053236074,0.121932142,0.026267417,0.317847783,0.359872426,0.396548957
 01/06  15:00:00,1.25466427,2.043201943,0,2.017018446,0,0.051892556,0.051892556,0.051892556,0.128349577,0.027649903,0.292642171,0.380136245,0.357349819
 01/06  16:00:00,1.329845783,2.035935478,0,2.008296513,0,0.051691384,0.051691384,0.051691384,0.160436991,0.034562383,0.302863616,0.401266965,0.362380445
 01/06  17:00:00,1.63237585,1.978600719,0,1.945908668,0,0.050083989,0.050083989,0.050083989,0.269534103,0.058064812,0.353720743,0.474628493,0.40969971
 01/06  18:00:00,2.223485446,2.593928494,0,2.554212876,0,0.065869734,0.065869734,0.065869734,0.500563357,0.107834641,0.445069937,0.576597765,0.510906012
 01/06  19:00:00,2.625861481,1.837170364,0,1.79405119,0,0.045836875,0.045836875,0.045836875,0.744427561,0.160369476,0.398283704,0.626011142,0.604288722
 01/06  20:00:00,2.600277904,1.741644725,0,1.697137259,0,0.043269376,0.043269376,0.043269376,0.789349925,0.170046944,0.315345897,0.646166599,0.619455163
 01/06  21:00:00,2.400467513,1.953511854,0,1.90747428,0,0.048721432,0.048721432,0.048721432,0.680252812,0.146544516,0.275874928,0.668380946,0.564048879
 01/06  22:00:00,2.173153448,2.183248159,0,2.138285392,0,0.054615262,0.054615262,0.054615262,0.5711557,0.123042104,0.258342283,0.652776722,0.496577377
 01/06  23:00:00,1.762027093,2.510062232,0,2.47115272,0,0.063081058,0.063081058,0.063081058,0.429971094,0.092627195,0.205880856,0.564894597,0.388928293
 01/06  24:00:00,1.350034756,2.981592603,0,2.947780961,0,0.075232042,0.075232042,0.075232042,0.295204003,0.063594789,0.135920782,0.490882893,0.272556248
 01/07  01:00:00,0.948814202,3.395309796,0,3.367342418,0,0.085866043,0.085866043,0.085866043,0.154019476,0.033179897,0.092942925,0.406034923,0.160126937
 01/07  02:00:00,0.767086416,3.65369469,0,3.627944102,0,0.092420699,0.092420699,0.092420699,0.089844728,0.019354937,0.07618578,0.37385121,0.098785063
 01/07  03:00:00,0.705540423,3.846265721,0,3.82081369,0,0.097113585,0.097113585,0.097113585,0.064174796,0.013824955,0.062326493,0.369516703,0.08193989
 01/07  04:00:00,0.704186688,4.143854899,0,4.118761137,0,0.104587939,0.104587939,0.104587939,0.064174796,0.013824955,0.053976431,0.364315295,0.086663271
 01/07  05:00:00,0.757610218,4.370705738,0,4.346559896,0,0.110315507,0.110315507,0.110315507,0.064174796,0.013824955,0.065822864,0.350553236,0.136274859
 01/07  06:00:00,1.027354014,4.41938869,0,4.392443871,0,0.11124929,0.11124929,0.11124929,0.064174796,0.013824955,0.080078181,0.391189237,0.350193555
 01/07  07:00:00,1.646922511,4.261489432,0,4.230357344,0,0.107001486,0.107001486,0.107001486,0.147602041,0.031797395,0.140383543,0.451980695,0.751513351
 01/07  08:00:00,2.082432114,4.370444887,0,4.337364711,0,0.109546272,0.109546272,0.109546272,0.301621517,0.064977292,0.228567291,0.480263352,0.865812391
 01/07  09:00:00,2.030406197,4.496338696,0,4.468371318,0,0.112915244,0.112915244,0.112915244,0.288786568,0.062212303,0.30112795,0.406034923,0.842685209
 01/07  10:00:00,1.787064452,4.560823213,0,4.537020712,0,0.114495229,0.114495229,0.114495229,0.147602041,0.031797395,0.375064554,0.345568553,0.75589268
 01/07  11:00:00,1.704421832,5.537683258,0,5.513320962,0,0.139852381,0.139852381,0.139852381,0.121932142,0.026267417,0.395792849,0.353695754,0.650237289
 01/07  12:00:00,1.594095583,4.293569002,0,4.269199242,0,0.107412573,0.107412573,0.107412573,0.121932142,0.026267417,0.413608485,0.353804116,0.554426849
